	brain_1	brain_2	brain_3	liver_1	liver_2	liver_3
ENSSSAG00000000040	142.7321	596.4154	150.6953	61.6587	19.00001	32.26101
ENSSSAG00000000041	0	0	8	0	0	0
ENSSSAG00000000044	248.415	983.715	764.914	36.0084	38.0112	36.0056
ENSSSAG00000000048	92.00010038	256.999785	96.00000005	34.00004	34	41.99996
ENSSSAG00000000049	258	415	268	319	233.958	282
ENSSSAG00000000051	235	655.0003734	299.9995816	69	55.00001	62
ENSSSAG00000000052	27305.9559	53468.0084	11598.0236	30	34	42
ENSSSAG00000000055	0	3	0	0	0	0
ENSSSAG00000000057	378.66	864.235	399.31127	49.0109	109.1793	95.9626
ENSSSAG00000000059	4.21354	1.03674	13	4	3	0
ENSSSAG00000000063	292.0005	681	324.0003	72	75.00003	68
ENSSSAG00000000065	83.4682	246.8221	104.1029	21.22577	54.6559	30.8107
ENSSSAG00000000067	24	9	14	27	3	30
ENSSSAG00000000069	34.2061	70.1271	36.23507	16.3572	22.7819	17.4037
ENSSSAG00000000073	641.00062	801.0002	489.99988	3	13.99999801	8
ENSSSAG00000000075	460.999772	1415.00056	444.99923	94.00003	144.99993	144.9999415
ENSSSAG00000000076	16.524	43.3062	9.40697	10.4687	16.5753	7.08056
ENSSSAG00000000077	17	38.03405	46.00002	7	10	11.99997
ENSSSAG00000000078	41.6321	236.019	72.6942	100.62	34.2448	48.8427
ENSSSAG00000000079	186.2801	570.16	250.2714	95.6012	173.7688	108.8004
ENSSSAG00000000080	364.0648	1186.175	384.30974	226.1856	160.343	142.2502
ENSSSAG00000000082	16	32.000003	70.99999	79	131	65
ENSSSAG00000000083	3.33342	7.89912	7.42868	7.95934	18.8035	8.00508
ENSSSAG00000000085	33.16474	27.3102	26.3638	2.08461	0	3.03327
ENSSSAG00000000089	464.6599	1466.7982	464.3908	551.9734	1531.117	967.415
ENSSSAG00000000090	70.00000003	36.99999568	75.00003	16	9	6
ENSSSAG00000000091	380.8957	1350.8918	478.6318	154.5799	170.44332	149.8722
ENSSSAG00000000094	763.05003	1594.042335	441.40785	28.99999867	28	11.999992
ENSSSAG00000000096	368.94246	877.4666	313.7041	103.00002	131.74984	87.62595
ENSSSAG00000000097	287.46139	366.6944	165.77665	0	1.27645	5.39383
ENSSSAG00000000100	259.616	729.386	141.979	10.9243	29.5213	15.5017
ENSSSAG00000000105	1934	3587	1657	237	231	239
ENSSSAG00000000106	23	25	30.5088	36	36	40
ENSSSAG00000000108	10	19.00005	10	10	4.04538	16
ENSSSAG00000000109	50.6097	100.731	109.761	0	0	1.07821
ENSSSAG00000000110	107.69995	328.2094	115.89	24.99999	42.3435	46.32752
ENSSSAG00000000113	5	3	1	9.01315	8.03745	8
ENSSSAG00000000114	0	0	11.03737839	0	0	0
ENSSSAG00000000115	1	0	34	0	0	0
ENSSSAG00000000122	1	0	0	31	12	25
ENSSSAG00000000128	310.0000761	1240.00057	556	148.0003153	164.9998067	152.9998211
ENSSSAG00000000130	261.4961134	526.9974	270.1484	6459.13154	7727.75052	6250.9506
ENSSSAG00000000131	146	294.0002	135.9997	21	34	30
ENSSSAG00000000132	113.801	67.6564	44.3844	0	0	1
ENSSSAG00000000133	0	0	11	4	3	2
ENSSSAG00000000136	46.1987	106.344	29.6156	0	0	0
ENSSSAG00000000137	8	35	27	12	12	4
ENSSSAG00000000139	116.00006	175.9997	396.00017	29.99998724	38.000042	31.99994549
ENSSSAG00000000140	212.129	707.472	299.305	279	264	199
ENSSSAG00000000141	21.63229	45.9724	29.2184	4.40778	10.47662	5.14947
ENSSSAG00000000142	486.4175	669.3019	386.6496	2.000002	1.999997	0
ENSSSAG00000000145	30	58.8501	14	21	13.3537	4.63474
ENSSSAG00000000146	2	2	1	0	0	0
ENSSSAG00000000147	19.4902	40.3837	247.174	15.8966	14.5904	9.89217
ENSSSAG00000000149	286.2904	701.8179	450.4173	112.3751	116.2399	106.0818
ENSSSAG00000000151	0	0	267	0	0	0
ENSSSAG00000000152	293.3603	614.2481	354.6347	7.25893	14.51772	3.34211
ENSSSAG00000000153	0	0	1.77294	0	1.51024	0
ENSSSAG00000000154	1	0	0	0	0	0
ENSSSAG00000000156	126.00006	96.01288	2697.902	2	5	3
ENSSSAG00000000157	41.6357	121.461	77.9227	29.031	39.9922	46.4961
ENSSSAG00000000159	0	0	0	0	0	0
ENSSSAG00000000160	516.5146	1123.4459	170.0775	2	3	2
ENSSSAG00000000161	840.982	2039.28	773.806	129.56	120.807	114.557
ENSSSAG00000000163	931.3063	2229.9122	561.1412	4.322424254	3.64445	1.23227
ENSSSAG00000000164	36.9816	94.0913	27.0273	7.70125	3.71862	4.604
ENSSSAG00000000165	184.9206	104.7833173	50.22342	0	0	1.16795
ENSSSAG00000000166	209.2054	531.428	184.6889	73.3695	85.3275	85.0911
ENSSSAG00000000169	2	0	0	0	0	1
ENSSSAG00000000170	166.65	627.438	299.332	91.2712	88.3628	111.062
ENSSSAG00000000172	441.7452	1389.375521	489.1247	127.3202	124.4778	102.4156
ENSSSAG00000000174	99.00000012	18.0255	49.0593	0	0	0
ENSSSAG00000000176	80	436	116	0	1	2.85565
ENSSSAG00000000177	193.982	332.36938	584.972	303.99506	360.951	290.00038
ENSSSAG00000000179	0	0	0	0	0	0
ENSSSAG00000000181	209.031	394.033	292.175	0	0	1.00025521
ENSSSAG00000000186	30	8	45	1	1	2
ENSSSAG00000000188	280.4478	459.02777	301.33009	192.00031	378.0613	203.4246
ENSSSAG00000000191	5	12	12.7937	2	5	1.70672
ENSSSAG00000000192	108.42906	297.597	122.5067	93.0355	89.568	97.9005
ENSSSAG00000000193	30.1274	135.079	33.4012	1.54009	5.06715	3.05313
ENSSSAG00000000195	7	25	5	8	4	3
ENSSSAG00000000199	20.80939	36.6865	37.0262	600.7439	506.3882	350.299
ENSSSAG00000000202	306.3229	633.0152	297.0324	69.25213	84.0382	70.02348
ENSSSAG00000000205	95.6413	223.6546	130.008	65.37179	64.1331602	50.97934073
ENSSSAG00000000210	156.57711	175.88016	139.61834	76.04086	53.75986	42.76455
ENSSSAG00000000213	121.428	226.15	264.993	144.1227	154.8244	132.0924
ENSSSAG00000000214	2	3.00139	19.00004	12	7	7
ENSSSAG00000000215	383.729193	1810.003	659.0007	113.0000751	125.97275	105
ENSSSAG00000000220	0	1	0	4	4	2
ENSSSAG00000000221	732	6936	271	12	5	5
ENSSSAG00000000227	106.4759	194.5402	125.0307	15.28034	21.9985	18.02973
ENSSSAG00000000230	5.00559	10.0129	5	0	2	0
ENSSSAG00000000233	2.93721	0	1.09925	1.49527	0	0
ENSSSAG00000000236	57	99.0321	31	5	10	11
ENSSSAG00000000238	408.7848518	1029.2666	565.8072188	184.0301	200.82334	203.021
ENSSSAG00000000240	191.2787293	681.519	163.7736	100	104.760023	148
ENSSSAG00000000241	231.346	671.669	449.563	9	3.10554	2.58907
ENSSSAG00000000242	1146.5674	4006.074	1870.67	493.0001	551.0002	493.7913
ENSSSAG00000000243	238.6657	476.8471	286.21377	87.22160011	106.0739	114.05135
ENSSSAG00000000244	0	0	0	0	0	0
ENSSSAG00000000248	76.06961	290.32429	162.89887	57.73612006	89.58640137	53.9045
ENSSSAG00000000249	86.3507	244.004	125.73	71.6842	43.4766	45.2768
ENSSSAG00000000250	300.0389132	3696.33954	194.5171743	4.0757	14.90407	6.75612
ENSSSAG00000000252	59.5225	47.13295	165.87903	223.2854	144.12943	447.189
ENSSSAG00000000255	2045.53489	5318.7599	1330.8324	583.4687401	476.3590004	422.1002002
ENSSSAG00000000256	89.2064	273.5684	89.0001	40.99999	69.3049	67.00005
ENSSSAG00000000258	357.7245058	4406.795892	261.7652782	223.274671	275.5243801	248.8524
ENSSSAG00000000262	362.639	1083.237	446.023	459.576	441.989	346.134
ENSSSAG00000000265	287.96639	658.10381	441.3025	6	5	5.02642
ENSSSAG00000000269	140.447	222.278	121.88	34.2538	41.6747	41.2834
ENSSSAG00000000270	214.002	589.451	263.3169	148.1822	170.9717	150
ENSSSAG00000000272	363	860.063	419.917	571.536	595.913	557.278
ENSSSAG00000000273	357.0002	900.0002	375.9996	77.00005	77.99998	105.00004
ENSSSAG00000000275	4.2761	2.39662	3.45617	2.79426	0	0
ENSSSAG00000000276	963.2250704	2405.24814	1091.913106	366.1170669	392.9930722	397.6983923
ENSSSAG00000000277	296	634	277	117	132	94
ENSSSAG00000000278	246.192324	2056.9696	95.23159	8	24.25948	7.9999906
ENSSSAG00000000279	179.32072	655.1569	190.2532	66.8291	89.0932	95.1895
ENSSSAG00000000280	0	1.4782	74.00005	0	3753.0764	3322.6477
ENSSSAG00000000282	64.0319	219.7631	106.8143	38.0158	50.0339	35.0056
ENSSSAG00000000283	21.12304	67.4255	19.7125	10.39795915	3	4
ENSSSAG00000000284	333.58769	1187.86413	508.4698	223.8542	215.52032	218.66012
ENSSSAG00000000286	4	12	28	21	13	16
ENSSSAG00000000287	1816.481	5342.46	2060.34953	815.8336	989.332	889.9
ENSSSAG00000000289	9	14	11.02	58	35	52
ENSSSAG00000000290	65.70697	235.61856	114.0368	41.32558496	45.7042	34.76072
ENSSSAG00000000299	339.33829	1052.03642	334.6777597	131.6758	173.33325	219.04032
ENSSSAG00000000303	63.7501	131.0842	82.2663	18.1833	19.44095	7.63056
ENSSSAG00000000305	301.362	638.495	317.222	147.0637	149.5707	144.0027
ENSSSAG00000000307	4228.65	7476.7	3446.42	222.283	149.047	134.065
ENSSSAG00000000312	6.36426	2	6	0	0	0
ENSSSAG00000000315	85.00000007	70	143	91	166	88
ENSSSAG00000000316	438.764	580.433	246.02	0.639424	0.8478	0.600559
ENSSSAG00000000317	182.652	319.47453	312.8263	733.589181	873.5391	730.1261
ENSSSAG00000000318	192.40668	601.5316	228.8872	36.08397	90.9803	54.3739
ENSSSAG00000000319	60.4211	82.8319	20.5665	1	1	0
ENSSSAG00000000320	183.0056	300.0274	670.9998009	292.22067	208.000009	242.0000199
ENSSSAG00000000322	54.0827	208.1282	56.2547	17.12112	21.17086	13.94027
ENSSSAG00000000326	341.59	780.531	319.706	146.691	191.924	208.645
ENSSSAG00000000328	1343.260051	3240.10601	1005.642289	103	206.9995	146.999956
ENSSSAG00000000333	4.55937	0	3.77591	0	0	1
ENSSSAG00000000335	22.3269	26.8482363	75.38837	77.0812	96.7943	42.9224
ENSSSAG00000000345	20	32	25	5	10	5
ENSSSAG00000000346	202.03	648.257	322.522	124.744	117.461	84.1616
ENSSSAG00000000347	23	19	14	181	403	504
ENSSSAG00000000349	17.00004	23.00003554	18.99998	24.99996407	35.00002	29.00001
ENSSSAG00000000352	762.6709	2193.581983	1071.708581	382.85053	453.50722	386.408393
ENSSSAG00000000357	0	4.1051	0	0	0	0
ENSSSAG00000000358	0	1	0	0	0	0
ENSSSAG00000000360	37.4526	103.302	163.863	7.25875	23.7662	10.2204
ENSSSAG00000000362	14	56.9984	18.8825	12.1292	1	4.60541
ENSSSAG00000000363	671.543	1480.1	1073.73	284.709	313.036	289.097
ENSSSAG00000000364	652.396	1691.2996	834.1423	134.34499	207.2472	180.0886323
ENSSSAG00000000368	277.804	763.0743	254.115	91.3817	54.3227	59
ENSSSAG00000000371	373.582	1276.351	457.505	86.4553	93.4557	71.8622
ENSSSAG00000000375	21	61.1568	46.6953	9	2.69327	18.5438
ENSSSAG00000000376	362.916	841.677	396.824	130.514	123.091	111.427
ENSSSAG00000000377	61.2828	334.301	131.558	28.0155	30.3833	39.5732
ENSSSAG00000000378	517	707	359	1	2	2
ENSSSAG00000000380	78.63989741	118.0995	77.17836789	6.20331	12.10726	8.14217
ENSSSAG00000000381	149.059	300.63	125.828	30.8171	29.9377	12.1168
ENSSSAG00000000382	267.44957	895.9182	344.002	97.6064	115.1223	108.2917
ENSSSAG00000000384	819.561	2710.61	544	267.869	242	247
ENSSSAG00000000385	406.195	912.903	715.5920001	158	133.983	141.847
ENSSSAG00000000387	670.03514	2595.8486	588.84255	184.59797	257.4283	175.38298
ENSSSAG00000000388	46.7104	86.5548	91.3937	37.91205	25.09265	23.89654
ENSSSAG00000000389	62	110.033	51.1531	20.4161	20	6
ENSSSAG00000000391	490	557	579	101	100	84
ENSSSAG00000000392	65.99612	111.38793	89.83837	39.33	37.4713	36.21232
ENSSSAG00000000395	33.418	54.3496	38.3788	1780.94	1773	1506.07
ENSSSAG00000000398	11.6197	6.25053	18.5033	0	0	0
ENSSSAG00000000399	126.6226	52.4445	489.544	22.50926	12.50431	27.93526
ENSSSAG00000000402	235.55575	432.4905	988.28306	240.53445	118.871	110.26
ENSSSAG00000000403	535	868	647	83.99996	100	108.0000427
ENSSSAG00000000404	25.8603	19.50482	3.47876	2.02865	2.00949	0
ENSSSAG00000000406	33.00004079	36.15270017	32.00000091	13.00000027	9.075280544	7.000000216
ENSSSAG00000000408	5	3	149.238	1	3	1
ENSSSAG00000000409	4.65454	5.06524	3.12982	0	2	0
ENSSSAG00000000410	343.28457	963.075	467.26808	106.84507	126.5096	141.21556
ENSSSAG00000000411	3	7.25878	4.09127	3.08911	1.00533	7.08996
ENSSSAG00000000413	831.589	2830.73924	971.12	1042.45	1245.92	1086.45051
ENSSSAG00000000414	11.99997644	12.00003932	186.0001	0	5.000002899	3.000002929
ENSSSAG00000000415	8278.2	10663.3	5286.35	19.4854	16.2325	17.6649
ENSSSAG00000000423	493.0289	1801.253	737.0000414	277.6068	277.99984	228.0002034
ENSSSAG00000000424	36.7518	105.118	63.4791	19.9972	8.47347	12.7103
ENSSSAG00000000425	0	9.12814	0	0	0	0
ENSSSAG00000000426	8.90419	7.937286	0	0	0	0.0599309
ENSSSAG00000000429	63.0863	65.4415	72.1464	1.38497	3.00002	0
ENSSSAG00000000430	381.6055	966.522	406.1247	166.3711	175.8309	181.6518
ENSSSAG00000000431	2473.53562	17132.56262	4469.23949	559.6151	501.84885	445.9467519
ENSSSAG00000000432	270.73066	1005.1905	374.4611	250.287	331.844	391.654
ENSSSAG00000000434	140.3097053	426.999874	206.000226	73.00002	114.0000357	137.0004
ENSSSAG00000000436	1	2	3.82107	0	0	0
ENSSSAG00000000437	114	328	172	31	27	37
ENSSSAG00000000439	67.3689	34.5613	31.4476	0	1	1
ENSSSAG00000000442	117.5036	357.3058	135.8628001	87.3667	108.9447	67.34442037
ENSSSAG00000000446	157.55859	194.64997	146.16269	14.9066	13.9997	9.77883
